"Honeypot Attacks - Top 10","@timestamp per 12 hours"," "
Ciscoasa,"2025-05-17 00:00",5k
Ciscoasa,"2025-05-17 12:00",4k
Ciscoasa,"2025-05-18 00:00",5k
Ciscoasa,"2025-05-18 12:00",6k
Ciscoasa,"2025-05-19 00:00",6k
Ciscoasa,"2025-05-19 12:00",5k
Ciscoasa,"2025-05-20 00:00",5k
Ciscoasa,"2025-05-20 12:00",4k
Ciscoasa,"2025-05-21 00:00",548
Ciscoasa,"2025-05-21 12:00",317
Ciscoasa,"2025-05-22 00:00",345
Dionaea,"2025-04-22 00:00","-"
Dionaea,"2025-04-22 12:00","-"
Dionaea,"2025-04-23 00:00",2k
Dionaea,"2025-04-23 12:00",5k
Dionaea,"2025-04-24 00:00",221
Dionaea,"2025-04-24 12:00",3k
Dionaea,"2025-04-25 00:00",337
Dionaea,"2025-04-25 12:00",4k
Dionaea,"2025-04-26 00:00",187
Dionaea,"2025-04-26 12:00",194
Dionaea,"2025-04-27 00:00",215
Dionaea,"2025-04-27 12:00",5k
Dionaea,"2025-04-28 00:00",361
Dionaea,"2025-04-28 12:00",957
Dionaea,"2025-04-29 00:00",200
Dionaea,"2025-04-29 12:00",676
Dionaea,"2025-04-30 00:00",217
Dionaea,"2025-04-30 12:00",281
Dionaea,"2025-05-01 00:00",799
Dionaea,"2025-05-01 12:00",1k
Dionaea,"2025-05-02 00:00",231
Dionaea,"2025-05-02 12:00",245
Dionaea,"2025-05-03 00:00",3k
Dionaea,"2025-05-03 12:00",254
Dionaea,"2025-05-04 00:00",11k
Dionaea,"2025-05-04 12:00",210
Dionaea,"2025-05-05 00:00",365
Dionaea,"2025-05-05 12:00",212
Dionaea,"2025-05-06 00:00",798
Dionaea,"2025-05-06 12:00",3k
Dionaea,"2025-05-07 00:00",2k
Dionaea,"2025-05-07 12:00",985
Dionaea,"2025-05-08 00:00",196
Dionaea,"2025-05-08 12:00",4k
Dionaea,"2025-05-09 00:00",347
Dionaea,"2025-05-09 12:00",315
Dionaea,"2025-05-10 00:00",4k
Dionaea,"2025-05-10 12:00",3k
Dionaea,"2025-05-11 00:00",197
Dionaea,"2025-05-11 12:00",11k
Dionaea,"2025-05-12 00:00",294
Dionaea,"2025-05-12 12:00",1k
Dionaea,"2025-05-13 00:00",274
Dionaea,"2025-05-13 12:00",751
Dionaea,"2025-05-14 00:00",8k
Dionaea,"2025-05-14 12:00",3k
Dionaea,"2025-05-15 00:00",5k
Dionaea,"2025-05-15 12:00",1k
Dionaea,"2025-05-16 00:00",6k
Dionaea,"2025-05-16 12:00",5k
Dionaea,"2025-05-17 00:00",181
Dionaea,"2025-05-17 12:00",2k
