"alert.category.keyword: Descending","Timestamp per 12 hours",Attacks
"Misc Attack","2025-05-10 00:00","3,374"
"Misc Attack","2025-05-10 12:00","4,274"
"Misc Attack","2025-05-11 00:00","4,944"
"Misc Attack","2025-05-11 12:00","4,412"
"Misc Attack","2025-05-12 00:00","4,626"
"Misc Attack","2025-05-12 12:00","3,735"
"Misc Attack","2025-05-13 00:00","4,008"
"Misc Attack","2025-05-13 12:00","2,931"
"Misc Attack","2025-05-14 00:00","2,948"
"Misc Attack","2025-05-14 12:00","1,919"
"Misc Attack","2025-05-15 00:00","2,289"
"Misc Attack","2025-05-15 12:00","2,304"
"Misc Attack","2025-05-16 00:00","2,728"
"Misc Attack","2025-05-16 12:00","2,878"
"Misc Attack","2025-05-17 00:00","3,651"
"Misc Attack","2025-05-17 12:00","4,669"
"Misc Attack","2025-05-18 00:00","5,250"
"Misc Attack","2025-05-18 12:00","4,510"
"Misc Attack","2025-05-19 00:00","4,882"
"Misc Attack","2025-05-19 12:00","3,900"
"Misc Attack","2025-05-20 00:00","4,520"
"Misc Attack","2025-05-20 12:00","4,006"
"Misc Attack","2025-05-21 00:00","4,127"
"Misc Attack","2025-05-21 12:00","2,478"
"Attempted Information Leak","2025-04-23 00:00","1,107"
"Attempted Information Leak","2025-04-23 12:00","3,526"
"Attempted Information Leak","2025-04-24 00:00","2,096"
"Attempted Information Leak","2025-04-24 12:00","2,764"
"Attempted Information Leak","2025-04-25 00:00","6,244"
"Attempted Information Leak","2025-04-25 12:00","6,171"
"Attempted Information Leak","2025-04-26 00:00","1,633"
"Attempted Information Leak","2025-04-26 12:00","6,290"
"Attempted Information Leak","2025-04-27 00:00","2,732"
"Attempted Information Leak","2025-04-27 12:00","1,576"
"Attempted Information Leak","2025-04-28 00:00","13,976"
"Attempted Information Leak","2025-04-28 12:00","48,084"
"Attempted Information Leak","2025-04-29 00:00","2,021"
"Attempted Information Leak","2025-04-29 12:00","4,187"
"Attempted Information Leak","2025-04-30 00:00","2,297"
"Attempted Information Leak","2025-04-30 12:00","1,715"
"Attempted Information Leak","2025-05-01 00:00","2,340"
"Attempted Information Leak","2025-05-01 12:00","2,134"
"Attempted Information Leak","2025-05-02 00:00","1,587"
"Attempted Information Leak","2025-05-02 12:00",784
"Attempted Information Leak","2025-05-03 00:00",801
"Attempted Information Leak","2025-05-03 12:00","1,340"
"Attempted Information Leak","2025-05-04 00:00","1,422"
"Attempted Information Leak","2025-05-04 12:00","1,612"
"Attempted Information Leak","2025-05-05 00:00","1,370"
"Attempted Information Leak","2025-05-05 12:00","1,370"
"Attempted Information Leak","2025-05-06 00:00","1,461"
"Attempted Information Leak","2025-05-06 12:00","1,137"
"Attempted Information Leak","2025-05-07 00:00",918
"Attempted Information Leak","2025-05-07 12:00","1,402"
"Attempted Information Leak","2025-05-08 00:00","1,116"
"Attempted Information Leak","2025-05-08 12:00","1,428"
"Attempted Information Leak","2025-05-09 00:00","1,286"
"Attempted Information Leak","2025-05-09 12:00","1,091"
"Attempted Information Leak","2025-05-10 00:00","1,095"
"Attempted Information Leak","2025-05-10 12:00","1,895"
"Attempted Information Leak","2025-05-11 00:00","1,747"
