"geoip.country_name.keyword: Descending","Timestamp per 12 hours",Attacks
China,"2025-05-07 12:00","2,604"
China,"2025-05-08 00:00","2,650"
China,"2025-05-08 12:00","4,374"
China,"2025-05-09 00:00","3,044"
China,"2025-05-09 12:00","1,813"
China,"2025-05-10 00:00","2,645"
China,"2025-05-10 12:00","5,311"
China,"2025-05-11 00:00","3,784"
China,"2025-05-11 12:00","2,981"
China,"2025-05-12 00:00","6,045"
China,"2025-05-12 12:00","86,184"
China,"2025-05-13 00:00","27,882"
China,"2025-05-13 12:00","8,079"
China,"2025-05-14 00:00","4,336"
China,"2025-05-14 12:00","2,904"
China,"2025-05-15 00:00","3,388"
China,"2025-05-15 12:00","5,282"
China,"2025-05-16 00:00","4,154"
China,"2025-05-16 12:00","8,179"
China,"2025-05-17 00:00","2,989"
China,"2025-05-17 12:00","2,875"
China,"2025-05-18 00:00","2,664"
China,"2025-05-18 12:00","2,561"
China,"2025-05-19 00:00","2,369"
China,"2025-05-19 12:00","2,277"
China,"2025-05-20 00:00","1,598"
China,"2025-05-20 12:00","2,270"
China,"2025-05-21 00:00","1,211"
China,"2025-05-21 12:00","1,252"
"United Kingdom","2025-04-23 00:00",872
"United Kingdom","2025-04-23 12:00","2,463"
"United Kingdom","2025-04-24 00:00","2,637"
"United Kingdom","2025-04-24 12:00","2,651"
"United Kingdom","2025-04-25 00:00","2,831"
"United Kingdom","2025-04-25 12:00","2,649"
"United Kingdom","2025-04-26 00:00","2,015"
"United Kingdom","2025-04-26 12:00","1,376"
"United Kingdom","2025-04-27 00:00","1,581"
"United Kingdom","2025-04-27 12:00","1,463"
"United Kingdom","2025-04-28 00:00","1,241"
"United Kingdom","2025-04-28 12:00","1,047"
"United Kingdom","2025-04-29 00:00","34,141"
"United Kingdom","2025-04-29 12:00",987
"United Kingdom","2025-04-30 00:00","1,306"
"United Kingdom","2025-04-30 12:00","1,104"
"United Kingdom","2025-05-01 00:00","1,450"
"United Kingdom","2025-05-01 12:00","1,412"
"United Kingdom","2025-05-02 00:00","1,137"
"United Kingdom","2025-05-02 12:00",71
"United Kingdom","2025-05-03 00:00",444
"United Kingdom","2025-05-03 12:00","1,242"
"United Kingdom","2025-05-04 00:00","1,397"
"United Kingdom","2025-05-04 12:00","1,326"
"United Kingdom","2025-05-05 00:00","1,280"
"United Kingdom","2025-05-05 12:00","1,003"
"United Kingdom","2025-05-06 00:00","1,246"
"United Kingdom","2025-05-06 12:00","1,020"
"United Kingdom","2025-05-07 00:00","1,470"
"United Kingdom","2025-05-07 12:00","1,014"
"United Kingdom","2025-05-08 00:00","1,393"
"United Kingdom","2025-05-08 12:00","2,012"
"United Kingdom","2025-05-09 00:00","1,459"
"United Kingdom","2025-05-09 12:00","1,170"
"United Kingdom","2025-05-10 00:00","1,346"
"United Kingdom","2025-05-10 12:00","1,516"
"United Kingdom","2025-05-11 00:00","1,573"
"United Kingdom","2025-05-11 12:00","1,316"
"United Kingdom","2025-05-12 00:00","1,728"
"United Kingdom","2025-05-12 12:00","1,040"
"United Kingdom","2025-05-13 00:00","1,341"
"United Kingdom","2025-05-13 12:00","1,073"
"United Kingdom","2025-05-14 00:00","1,102"
"United Kingdom","2025-05-14 12:00","1,031"
"United Kingdom","2025-05-15 00:00","1,339"
"United Kingdom","2025-05-15 12:00","1,374"
"United Kingdom","2025-05-16 00:00","1,557"
"United Kingdom","2025-05-16 12:00","1,419"
"United Kingdom","2025-05-17 00:00","1,656"
"United Kingdom","2025-05-17 12:00","2,010"
"United Kingdom","2025-05-18 00:00","2,183"
"United Kingdom","2025-05-18 12:00","1,253"
"United Kingdom","2025-05-19 00:00","1,400"
"United Kingdom","2025-05-19 12:00","1,041"
"United Kingdom","2025-05-20 00:00","1,297"
"United Kingdom","2025-05-20 12:00","1,156"
"United Kingdom","2025-05-21 00:00","1,218"
"United Kingdom","2025-05-21 12:00",974
