"Top 5 values of DestPort","Timestamp per 12 hours",Attacks
80,"2025-05-14 12:00",720
80,"2025-05-15 00:00",852
80,"2025-05-15 12:00",116
80,"2025-05-16 00:00",140
80,"2025-05-16 12:00",165
80,"2025-05-17 00:00",422
80,"2025-05-17 12:00",128
80,"2025-05-18 00:00",295
80,"2025-05-18 12:00",531
80,"2025-05-19 00:00",434
80,"2025-05-19 12:00",121
80,"2025-05-20 00:00",178
80,"2025-05-20 12:00",247
80,"2025-05-21 00:00",154
80,"2025-05-21 12:00",189
