"Top 5 values of type.keyword","Timestamp per 12 hours",Attacks
Heralding,"2025-05-12 12:00","3,806"
Heralding,"2025-05-13 00:00","4,407"
Heralding,"2025-05-13 12:00","7,740"
Heralding,"2025-05-14 00:00","3,418"
Heralding,"2025-05-14 12:00","8,739"
Heralding,"2025-05-15 00:00","7,896"
Heralding,"2025-05-15 12:00","4,160"
Heralding,"2025-05-16 00:00","3,009"
Heralding,"2025-05-16 12:00","11,831"
Heralding,"2025-05-17 00:00","4,642"
Heralding,"2025-05-17 12:00",687
Heralding,"2025-05-18 00:00","6,674"
Heralding,"2025-05-18 12:00","12,740"
Heralding,"2025-05-19 00:00",3
Heralding,"2025-05-19 12:00","2,023"
Heralding,"2025-05-20 00:00","6,411"
Heralding,"2025-05-20 12:00","9,210"
Heralding,"2025-05-21 00:00","8,657"
Heralding,"2025-05-21 12:00",591
