"alert.category.keyword: Descending","Timestamp per 12 hours",Attacks
"Attempted Information Leak","2025-05-11 12:00","2,265"
"Attempted Information Leak","2025-05-12 00:00","2,538"
"Attempted Information Leak","2025-05-12 12:00","2,400"
"Attempted Information Leak","2025-05-13 00:00","3,211"
"Attempted Information Leak","2025-05-13 12:00","2,833"
"Attempted Information Leak","2025-05-14 00:00","2,696"
"Attempted Information Leak","2025-05-14 12:00","3,818"
"Attempted Information Leak","2025-05-15 00:00","2,590"
"Attempted Information Leak","2025-05-15 12:00","1,963"
"Attempted Information Leak","2025-05-16 00:00","1,838"
"Attempted Information Leak","2025-05-16 12:00","5,266"
"Attempted Information Leak","2025-05-17 00:00","2,544"
"Attempted Information Leak","2025-05-17 12:00","2,361"
"Attempted Information Leak","2025-05-18 00:00","1,623"
"Attempted Information Leak","2025-05-18 12:00","1,689"
"Attempted Information Leak","2025-05-19 00:00","1,521"
"Attempted Information Leak","2025-05-19 12:00","1,700"
"Attempted Information Leak","2025-05-20 00:00","2,133"
"Attempted Information Leak","2025-05-20 12:00","2,007"
"Attempted Information Leak","2025-05-21 00:00","6,560"
"Attempted Information Leak","2025-05-21 12:00","16,601"
"Attempted Administrator Privilege Gain","2025-04-23 00:00","4,223"
"Attempted Administrator Privilege Gain","2025-04-23 12:00","7,828"
"Attempted Administrator Privilege Gain","2025-04-24 00:00","2,868"
"Attempted Administrator Privilege Gain","2025-04-24 12:00","8,239"
"Attempted Administrator Privilege Gain","2025-04-25 00:00","4,529"
"Attempted Administrator Privilege Gain","2025-04-25 12:00","6,120"
"Attempted Administrator Privilege Gain","2025-04-26 00:00","3,138"
"Attempted Administrator Privilege Gain","2025-04-26 12:00",60
"Attempted Administrator Privilege Gain","2025-04-27 00:00","3,123"
"Attempted Administrator Privilege Gain","2025-04-27 12:00",241
"Attempted Administrator Privilege Gain","2025-04-28 00:00","1,954"
"Attempted Administrator Privilege Gain","2025-04-28 12:00","1,019"
"Attempted Administrator Privilege Gain","2025-04-29 00:00","2,802"
"Attempted Administrator Privilege Gain","2025-04-29 12:00","6,193"
"Attempted Administrator Privilege Gain","2025-04-30 00:00","1,773"
"Attempted Administrator Privilege Gain","2025-04-30 12:00","1,779"
"Attempted Administrator Privilege Gain","2025-05-01 00:00",115
"Attempted Administrator Privilege Gain","2025-05-01 12:00",90
"Attempted Administrator Privilege Gain","2025-05-02 00:00",127
"Attempted Administrator Privilege Gain","2025-05-02 12:00","2,150"
"Attempted Administrator Privilege Gain","2025-05-03 00:00","4,271"
"Attempted Administrator Privilege Gain","2025-05-03 12:00","2,794"
"Attempted Administrator Privilege Gain","2025-05-04 00:00",198
"Attempted Administrator Privilege Gain","2025-05-04 12:00",174
"Attempted Administrator Privilege Gain","2025-05-05 00:00","4,399"
"Attempted Administrator Privilege Gain","2025-05-05 12:00","1,580"
"Attempted Administrator Privilege Gain","2025-05-06 00:00","1,586"
"Attempted Administrator Privilege Gain","2025-05-06 12:00","4,380"
"Attempted Administrator Privilege Gain","2025-05-07 00:00",113
"Attempted Administrator Privilege Gain","2025-05-07 12:00","5,222"
"Attempted Administrator Privilege Gain","2025-05-08 00:00","1,548"
"Attempted Administrator Privilege Gain","2025-05-08 12:00","4,967"
"Attempted Administrator Privilege Gain","2025-05-09 00:00","1,881"
"Attempted Administrator Privilege Gain","2025-05-09 12:00","1,705"
"Attempted Administrator Privilege Gain","2025-05-10 00:00","2,821"
"Attempted Administrator Privilege Gain","2025-05-10 12:00",139
"Attempted Administrator Privilege Gain","2025-05-11 00:00","1,400"
"Attempted Administrator Privilege Gain","2025-05-11 12:00","3,291"
"Attempted Administrator Privilege Gain","2025-05-12 00:00",314
"Attempted Administrator Privilege Gain","2025-05-12 12:00","3,064"
"Attempted Administrator Privilege Gain","2025-05-13 00:00","4,688"
"Attempted Administrator Privilege Gain","2025-05-13 12:00",818
"Attempted Administrator Privilege Gain","2025-05-14 00:00","1,505"
"Attempted Administrator Privilege Gain","2025-05-14 12:00","4,898"
"Attempted Administrator Privilege Gain","2025-05-15 00:00",261
"Attempted Administrator Privilege Gain","2025-05-15 12:00","7,515"
"Attempted Administrator Privilege Gain","2025-05-16 00:00","1,995"
"Attempted Administrator Privilege Gain","2025-05-16 12:00",111
"Attempted Administrator Privilege Gain","2025-05-17 00:00",113
"Attempted Administrator Privilege Gain","2025-05-17 12:00","5,582"
"Attempted Administrator Privilege Gain","2025-05-18 00:00",456
"Attempted Administrator Privilege Gain","2025-05-18 12:00","1,489"
"Attempted Administrator Privilege Gain","2025-05-19 00:00","1,424"
"Attempted Administrator Privilege Gain","2025-05-19 12:00",199
"Attempted Administrator Privilege Gain","2025-05-20 00:00","4,424"
"Attempted Administrator Privilege Gain","2025-05-20 12:00","2,951"
"Attempted Administrator Privilege Gain","2025-05-21 00:00","2,425"
"Attempted Administrator Privilege Gain","2025-05-21 12:00","11,642"
