"geoip.country_name.keyword: Descending","Timestamp per 12 hours",Attacks
China,"2025-05-19 00:00","2,345"
China,"2025-05-19 12:00","2,003"
China,"2025-05-20 00:00","1,923"
China,"2025-05-20 12:00","1,224"
China,"2025-05-21 00:00","11,574"
China,"2025-05-21 12:00","1,899"
Chile,"2025-04-23 12:00",2
Chile,"2025-04-25 12:00",1
Chile,"2025-04-27 00:00","4,464"
Chile,"2025-04-28 00:00",5
Chile,"2025-04-29 00:00","5,127"
Chile,"2025-04-29 12:00","1,489"
Chile,"2025-04-30 00:00","3,663"
Chile,"2025-04-30 12:00","15,415"
Chile,"2025-05-01 00:00","35,552"
Chile,"2025-05-01 12:00","46,597"
Chile,"2025-05-02 00:00",3
Chile,"2025-05-02 12:00","10,295"
Chile,"2025-05-03 00:00",4
Chile,"2025-05-03 12:00",1
Chile,"2025-05-04 12:00",1
Chile,"2025-05-05 12:00",3
Chile,"2025-05-06 12:00",5
Chile,"2025-05-08 00:00",1
Chile,"2025-05-09 00:00",3
Chile,"2025-05-11 00:00",3
Chile,"2025-05-11 12:00",2
Chile,"2025-05-12 00:00",1
Chile,"2025-05-13 00:00",1
Chile,"2025-05-13 12:00",1
Chile,"2025-05-14 00:00",2
Chile,"2025-05-14 12:00",15
Chile,"2025-05-15 00:00",182
Chile,"2025-05-15 12:00",1
Chile,"2025-05-17 12:00",2
Chile,"2025-05-18 00:00","2,259"
Chile,"2025-05-19 00:00","2,961"
Chile,"2025-05-19 12:00",1
Chile,"2025-05-20 00:00",1
Chile,"2025-05-21 00:00",1
Chile,"2025-05-21 12:00",3
